movementId,pokemonType,power,durationMs,damageWindowStartMs,damageWindowEndMs,energyDelta
FURY CUTTER,BUG,4.0,500.0,200.0,500.0,8.0
BUG BITE,BUG,5.0,500.0,250.0,450.0,6.0
BITE,DARK,6.0,500.0,300.0,500.0,4.0
SUCKER PUNCH,DARK,5.0,500.0,100.0,500.0,6.0
DRAGON BREATH,DRAGON,6.0,500.0,300.0,500.0,4.0
THUNDER SHOCK,ELECTRIC,4.0,500.0,200.0,500.0,7.0
SPARK,ELECTRIC,4.0,500.0,100.0,500.0,6.0
LOW KICK,FIGHTING,5.0,500.0,200.0,500.0,5.0
KARATE CHOP,FIGHTING,10.0,1000.0,800.0,1000.0,13.0
EMBER,FIRE,10.0,1000.0,600.0,800.0,10.0
WING ATTACK,FLYING,10.0,1000.0,750.0,950.0,11.0
PECK,FLYING,10.0,1000.0,450.0,900.0,10.0
LICK,GHOST,5.0,500.0,200.0,500.0,6.0
SHADOW CLAW,GHOST,6.0,500.0,50.0,300.0,4.0
VINE WHIP,GRASS,6.0,500.0,250.0,500.0,5.0
RAZOR LEAF,GRASS,13.0,1000.0,600.0,850.0,7.0
MUD SHOT,GROUND,4.0,500.0,250.0,450.0,6.0
ICE SHARD,ICE,10.0,1000.0,400.0,700.0,10.0
FROST BREATH,ICE,11.0,1000.0,550.0,850.0,9.0
QUICK ATTACK,NORMAL,10.0,1000.0,450.0,750.0,13.0
SCRATCH,NORMAL,6.0,500.0,300.0,500.0,4.0
TACKLE,NORMAL,5.0,500.0,300.0,500.0,5.0
POUND,NORMAL,6.0,500.0,240.0,440.0,5.0
CUT,NORMAL,5.0,500.0,300.0,500.0,5.0
POISON JAB,POISON,13.0,1000.0,400.0,1000.0,9.0
ACID,POISON,11.0,1000.0,600.0,800.0,10.0
PSYCHO CUT,PSYCHIC,4.0,500.0,270.0,470.0,7.0
ROCK THROW,ROCK,13.0,1000.0,600.0,900.0,8.0
METAL CLAW,STEEL,6.0,500.0,230.0,430.0,5.0
BULLET PUNCH,STEEL,10.0,1000.0,400.0,1000.0,11.0
WATER GUN,WATER,5.0,500.0,300.0,500.0,5.0
SPLASH,WATER,,1500.0,800.0,1000.0,17.0
WATER GUN BLASTOISE,WATER,10.0,1000.0,300.0,500.0,6.0
MUD SLAP,GROUND,19.0,1500.0,1250.0,1450.0,13.0
ZEN HEADBUTT,PSYCHIC,11.0,1000.0,750.0,950.0,9.0
CONFUSION,PSYCHIC,19.0,1500.0,500.0,1500.0,14.0
POISON STING,POISON,4.0,500.0,275.0,475.0,6.0
BUBBLE,WATER,10.0,1000.0,550.0,800.0,12.0
FEINT ATTACK,DARK,11.0,1000.0,850.0,1000.0,10.0
STEEL WING,STEEL,14.0,1000.0,700.0,1000.0,8.0
FIRE FANG,FIRE,13.0,1000.0,740.0,940.0,9.0
ROCK SMASH,FIGHTING,17.0,1500.0,750.0,1000.0,12.0
TRANSFORM,NORMAL,,2000.0,70.0,470.0,
COUNTER,FIGHTING,13.0,1000.0,800.0,1000.0,9.0
POWDER SNOW,ICE,6.0,1000.0,850.0,1000.0,15.0
CHARGE BEAM,ELECTRIC,7.0,1000.0,750.0,950.0,14.0
VOLT SWITCH,ELECTRIC,13.0,1500.0,600.0,800.0,20.0
DRAGON TAIL,DRAGON,14.0,1000.0,750.0,950.0,8.0
AIR SLASH,FLYING,12.0,1000.0,800.0,1000.0,8.0
INFESTATION,BUG,9.0,1000.0,750.0,950.0,13.0
STRUGGLE BUG,BUG,15.0,1500.0,1200.0,1500.0,15.0
ASTONISH,GHOST,7.0,1000.0,600.0,950.0,13.0
HEX,GHOST,8.0,1000.0,800.0,1000.0,13.0
IRON TAIL,STEEL,14.0,1000.0,750.0,950.0,6.0
FIRE SPIN,FIRE,13.0,1000.0,750.0,950.0,9.0
BULLET SEED,GRASS,7.0,1000.0,750.0,950.0,13.0
EXTRASENSORY,PSYCHIC,11.0,1000.0,750.0,950.0,11.0
SNARL,DARK,11.0,1000.0,750.0,950.0,13.0
HIDDEN POWER,NORMAL,15.0,1500.0,1100.0,1400.0,15.0
TAKE DOWN,NORMAL,7.0,1000.0,750.0,900.0,8.0
WATERFALL,WATER,13.0,1000.0,750.0,900.0,7.0
YAWN,NORMAL,,1500.0,1200.0,1400.0,13.0
PRESENT,NORMAL,6.0,1500.0,1300.0,1500.0,23.0
SMACK DOWN,ROCK,13.0,1000.0,600.0,900.0,7.0
CHARM,FAIRY,20.0,1500.0,900.0,1200.0,11.0
LOCK ON,NORMAL,2.0,500.0,370.0,500.0,10.0
THUNDER FANG,ELECTRIC,10.0,1000.0,200.0,700.0,13.0
ICE FANG,ICE,12.0,1500.0,400.0,1000.0,20.0
GUST,FLYING,25.0,2000.0,900.0,2000.0,20.0
INCINERATE,FIRE,32.0,2500.0,700.0,2500.0,22.0
FAIRY WIND,FAIRY,9.0,1000.0,630.0,1000.0,13.0
DOUBLE KICK,FIGHTING,10.0,1000.0,300.0,800.0,13.0
MAGICAL LEAF,GRASS,17.0,1500.0,850.0,1400.0,17.0
ROLLOUT,ROCK,15.0,1500.0,1060.0,1300.0,19.0
WATER SHURIKEN,WATER,9.0,1000.0,900.0,1000.0,14.0
LEAFAGE,GRASS,6.0,500.0,200.0,700.0,4.0
GEOMANCY,FAIRY,20.0,1500.0,1000.0,1500.0,14.0
PSYWAVE,PSYCHIC,4.0,500.0,300.0,600.0,7.0
METAL SOUND,STEEL,4.0,500.0,200.0,700.0,6.0
SAND ATTACK,GROUND,4.0,500.0,300.0,600.0,7.0
FORCE PALM,FIGHTING,10.0,1000.0,800.0,1000.0,16.0
