,pokemonId,type,type2,baseAttack,baseDefense,baseStamina,pokedexHeightM,pokedexWeightKg,candyToEvolve,kmBuddyDistance,thirdMoveStardustToUnlock,thirdMoveCandyToUnlock,shadowPurificationStardustNeeded,shadowPurificationCandyNeeded,megaId,megaAttack,megaDefense,megaStamina,megaHeightM,megaWeightKg,megaType1,megaType2,quickMoves,cinematicMoves,pokedexNumber,region,eliteQuickMove?,eliteCinematicMove?
0,BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,VINE WHIP,SLUDGE BOMB,1,KANTO,False,False
1,BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,VINE WHIP,SEED BOMB,1,KANTO,False,False
2,BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,VINE WHIP,POWER WHIP,1,KANTO,False,False
3,BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,TACKLE,SLUDGE BOMB,1,KANTO,False,False
4,BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,TACKLE,SEED BOMB,1,KANTO,False,False
5,BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,TACKLE,POWER WHIP,1,KANTO,False,False
6,IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,RAZOR LEAF,SLUDGE BOMB,2,KANTO,False,False
7,IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,RAZOR LEAF,SOLAR BEAM,2,KANTO,False,False
8,IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,RAZOR LEAF,POWER WHIP,2,KANTO,False,False
9,IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,VINE WHIP,SLUDGE BOMB,2,KANTO,False,False
10,IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,VINE WHIP,SOLAR BEAM,2,KANTO,False,False
11,IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,,,,,,,,,VINE WHIP,POWER WHIP,2,KANTO,False,False
12,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,RAZOR LEAF,SLUDGE BOMB,3,KANTO,False,False
13,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,RAZOR LEAF,PETAL BLIZZARD,3,KANTO,False,False
14,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,RAZOR LEAF,SOLAR BEAM,3,KANTO,False,False
15,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,RAZOR LEAF,FRENZY PLANT,3,KANTO,False,True
16,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,VINE WHIP,SLUDGE BOMB,3,KANTO,False,False
17,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,VINE WHIP,PETAL BLIZZARD,3,KANTO,False,False
18,VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,VINE WHIP,SOLAR BEAM,3,KANTO,False,False
