pokemonId,type,type2,baseAttack,baseDefense,baseStamina,pokedexHeightM,pokedexWeightKg,candyToEvolve,kmBuddyDistance,thirdMoveStardustToUnlock,thirdMoveCandyToUnlock,shadowPurificationStardustNeeded,shadowPurificationCandyNeeded,quickMoves,cinematicMoves,eliteQuickMove,eliteCinematicMove,megaId,megaAttack,megaDefense,megaStamina,megaHeightM,megaWeightKg,megaType1,megaType2,pokedexNumber,form
BULBASAUR,GRASS,POISON,118.0,111.0,128.0,0.7,6.9,25.0,3.0,10000.0,25.0,3000.0,3.0,"['VINE_WHIP_FAST', 'TACKLE_FAST']","['SLUDGE_BOMB', 'SEED_BOMB', 'POWER_WHIP']",,,,,,,,,,,0001,POKEMON_BULBASAUR
IVYSAUR,GRASS,POISON,151.0,143.0,155.0,1.0,13.0,100.0,3.0,10000.0,25.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'VINE_WHIP_FAST']","['SLUDGE_BOMB', 'SOLAR_BEAM', 'POWER_WHIP']",,,,,,,,,,,0002,POKEMON_IVYSAUR
VENUSAUR,GRASS,POISON,198.0,189.0,190.0,2.0,100.0,,3.0,10000.0,25.0,3000.0,3.0,"['RAZOR_LEAF_FAST', 'VINE_WHIP_FAST']","['SLUDGE_BOMB', 'PETAL_BLIZZARD', 'SOLAR_BEAM']",,['FRENZY_PLANT'],MEGA,241.0,246.0,190.0,2.4,155.5,GRASS,POISON,0003,POKEMON_VENUSAUR
CHARMANDER,FIRE,,116.0,93.0,118.0,0.6,8.5,25.0,3.0,10000.0,25.0,3000.0,3.0,"['EMBER_FAST', 'SCRATCH_FAST']","['FLAME_CHARGE', 'FLAME_BURST', 'FLAMETHROWER']",,,,,,,,,,,0004,POKEMON_CHARMANDER
CHARMELEON,FIRE,,158.0,126.0,151.0,1.1,19.0,100.0,3.0,10000.0,25.0,3000.0,3.0,"['EMBER_FAST', 'FIRE_FANG_FAST']","['FIRE_PUNCH', 'FLAME_BURST', 'FLAMETHROWER']",['SCRATCH_FAST'],,,,,,,,,,0005,POKEMON_CHARMELEON
CHARIZARD,FIRE,FLYING,223.0,173.0,186.0,1.7,90.5,,3.0,10000.0,25.0,3000.0,3.0,"['FIRE_SPIN_FAST', 'AIR_SLASH_FAST']","['FIRE_BLAST', 'DRAGON_CLAW', 'OVERHEAT']","['EMBER_FAST', 'WING_ATTACK_FAST', 'DRAGON_BREATH_FAST']","['BLAST_BURN', 'FLAMETHROWER']",MEGA_X,273.0,213.0,186.0,1.7,110.5,FIRE,DRAGON,0006,POKEMON_CHARIZARD
SQUIRTLE,WATER,,94.0,121.0,127.0,0.5,9.0,25.0,3.0,10000.0,25.0,3000.0,3.0,"['BUBBLE_FAST', 'TACKLE_FAST']","['AQUA_JET', 'AQUA_TAIL', 'WATER_PULSE']",,,,,,,,,,,0007,POKEMON_SQUIRTLE
WARTORTLE,WATER,,126.0,155.0,153.0,1.0,22.5,100.0,3.0,10000.0,25.0,3000.0,3.0,"['WATER_GUN_FAST', 'BITE_FAST']","['AQUA_JET', 'ICE_BEAM', 'HYDRO_PUMP']",,,,,,,,,,,0008,POKEMON_WARTORTLE
BLASTOISE,WATER,,171.0,207.0,188.0,1.6,85.5,,3.0,10000.0,25.0,3000.0,3.0,"['WATER_GUN_FAST', 'BITE_FAST']","['FLASH_CANNON', 'ICE_BEAM', 'HYDRO_PUMP', 'SKULL_BASH']",,['HYDRO_CANNON'],MEGA,264.0,237.0,188.0,1.6,101.1,WATER,,0009,POKEMON_BLASTOISE
CATERPIE,BUG,,55.0,55.0,128.0,0.3,2.9,12.0,1.0,10000.0,25.0,1000.0,1.0,"['BUG_BITE_FAST', 'TACKLE_FAST']",['STRUGGLE'],,,,,,,,,,,0010,POKEMON_CATERPIE
METAPOD,BUG,,45.0,80.0,137.0,0.7,9.9,50.0,1.0,10000.0,25.0,1000.0,1.0,"['BUG_BITE_FAST', 'TACKLE_FAST']",['STRUGGLE'],,,,,,,,,,,0011,POKEMON_METAPOD
BUTTERFREE,BUG,FLYING,167.0,137.0,155.0,1.1,32.0,,1.0,10000.0,25.0,1000.0,1.0,"['STRUGGLE_BUG_FAST', 'CONFUSION_FAST']","['BUG_BUZZ', 'PSYCHIC', 'SIGNAL_BEAM']",['BUG_BITE_FAST'],,,,,,,,,,0012,POKEMON_BUTTERFREE
WEEDLE,BUG,POISON,63.0,50.0,120.0,0.3,3.2,12.0,1.0,10000.0,25.0,1000.0,1.0,"['BUG_BITE_FAST', 'POISON_STING_FAST']",['STRUGGLE'],,,,,,,,,,,0013,POKEMON_WEEDLE
KAKUNA,BUG,POISON,46.0,75.0,128.0,0.6,10.0,50.0,1.0,10000.0,25.0,1000.0,1.0,"['BUG_BITE_FAST', 'POISON_STING_FAST']",['STRUGGLE'],,,,,,,,,,,0014,POKEMON_KAKUNA
BEEDRILL,BUG,POISON,169.0,130.0,163.0,1.0,29.5,,1.0,10000.0,25.0,1000.0,1.0,"['INFESTATION_FAST', 'POISON_JAB_FAST']","['SLUDGE_BOMB', 'AERIAL_ACE', 'X_SCISSOR', 'FELL_STINGER']",['BUG_BITE_FAST'],['DRILL_RUN'],MEGA,303.0,148.0,163.0,1.4,40.5,BUG,POISON,0015,POKEMON_BEEDRILL
PIDGEY,NORMAL,FLYING,85.0,73.0,120.0,0.3,1.8,12.0,1.0,10000.0,25.0,1000.0,1.0,"['QUICK_ATTACK_FAST', 'TACKLE_FAST']","['TWISTER', 'AERIAL_ACE', 'AIR_CUTTER']",,,,,,,,,,,0016,POKEMON_PIDGEY
PIDGEOTTO,NORMAL,FLYING,117.0,105.0,160.0,1.1,30.0,50.0,1.0,10000.0,25.0,1000.0,1.0,"['WING_ATTACK_FAST', 'STEEL_WING_FAST']","['TWISTER', 'AERIAL_ACE', 'AIR_CUTTER']",,,,,,,,,,,0017,POKEMON_PIDGEOTTO
PIDGEOT,NORMAL,FLYING,166.0,154.0,195.0,1.5,39.5,,1.0,10000.0,25.0,1000.0,1.0,"['AIR_SLASH_FAST', 'STEEL_WING_FAST']","['HURRICANE', 'AERIAL_ACE', 'BRAVE_BIRD', 'FEATHER_DANCE']","['WING_ATTACK_FAST', 'GUST_FAST']",['AIR_CUTTER'],MEGA,280.0,175.0,195.0,2.2,50.5,NORMAL,FLYING,0018,POKEMON_PIDGEOT
RATTATA,NORMAL,,103.0,70.0,102.0,0.3,3.5,25.0,1.0,10000.0,25.0,1000.0,1.0,"['TACKLE_FAST', 'QUICK_ATTACK_FAST']","['DIG', 'HYPER_FANG', 'BODY_SLAM']",,,,,,,,,,,0019,POKEMON_RATTATA
RATTATA,DARK,NORMAL,103.0,70.0,102.0,0.3,3.8,25.0,1.0,10000.0,25.0,1000.0,1.0,"['TACKLE_FAST', 'QUICK_ATTACK_FAST']","['CRUNCH', 'HYPER_FANG', 'SHADOW_BALL']",,,,,,,,,,,0019,POKEMON_RATTATA_ALOLA
RATICATE,NORMAL,,161.0,139.0,146.0,0.7,18.5,,1.0,10000.0,25.0,1000.0,1.0,"['BITE_FAST', 'QUICK_ATTACK_FAST']","['DIG', 'HYPER_FANG', 'HYPER_BEAM']",,,,,,,,,,,0020,POKEMON_RATICATE
RATICATE,DARK,NORMAL,135.0,154.0,181.0,0.7,25.5,,1.0,10000.0,25.0,1000.0,1.0,"['BITE_FAST', 'QUICK_ATTACK_FAST']","['CRUNCH', 'HYPER_FANG', 'HYPER_BEAM']",,,,,,,,,,,0020,POKEMON_RATICATE_ALOLA
SPEAROW,NORMAL,FLYING,112.0,60.0,120.0,0.3,2.0,50.0,1.0,10000.0,25.0,,,"['PECK_FAST', 'QUICK_ATTACK_FAST']","['AERIAL_ACE', 'DRILL_PECK', 'SKY_ATTACK']",,['TWISTER'],,,,,,,,,0021,POKEMON_SPEAROW
